title,brand,model,storage_raw,ram_raw,condition,warranty,district,posted_date,price_raw
Other Tecno Spark 8 64GB (Warranty),Other,Tecno Spark 8,64GB,3GB RAM,Used,Yes,Colombo,1 week ago,"Rs. 25,600"
Motorola Moto G62 128GB (Warranty),Motorola,Moto G62,128GB,6GB RAM,Used,Yes,Gampaha,"Nov 24, 2025","Rs. 42,700"
Vivo Vivo Y20 64GB,Vivo,Vivo Y20,64GB,6GB RAM,Used,No,Colombo,2 weeks ago,"Rs. 94,500"
Vivo Vivo V21 256GB,Vivo,Vivo V21,256GB,8GB RAM,Used,No,Colombo,"Aug 26, 2025","Rs. 93,000"
Samsung Galaxy A32 64GB (Warranty),Samsung,Galaxy A32,64GB,4GB RAM,Used,Yes,Kurunegala,2 weeks ago,"Rs. 92,400"
Oppo Oppo A57 128GB,Oppo,Oppo A57,128GB,4GB RAM,Used,No,Colombo,"Jan 23, 2026","Rs. 102,100"
Other Tecno Pop 5 16GB (Warranty),Other,Tecno Pop 5,16GB,3GB RAM,Like New,Yes,Colombo,5 days ago,"Rs. 56,800"
Realme Realme C30 128GB (Warranty),Realme,Realme C30,128GB,3GB RAM,Used,Yes,Gampaha,Today,"Rs. 61,400"
Xiaomi Redmi 12C 64GB (Warranty),Xiaomi,Redmi 12C,64GB,3GB RAM,Used,Yes,Gampaha,"Nov 24, 2025","Rs. 116,700"
Apple iPhone 13 Pro 256GB (Warranty),Apple,iPhone 13 Pro,256GB,8GB RAM,Used,Yes,Galle,"Dec 24, 2025","Rs. 448,000"
Redmi Redmi Note 9 128GB,Redmi,Redmi Note 9,128GB,4GB RAM,Like New,No,Galle,2 weeks ago,"Rs. 67,200"
Redmi Redmi Note 9 128GB,Redmi,Redmi Note 9,128GB,4GB RAM,Used,No,Colombo,"Aug 26, 2025","Rs. 25,500"
Apple iPhone 12 128GB (Warranty),Apple,iPhone 12,128GB,3GB RAM,Used,Yes,Badulla,3 weeks ago,"Rs. 329,500"
Redmi Redmi 9A 32GB (Warranty),Redmi,Redmi 9A,32GB,4GB RAM,Used,Yes,Puttalam,3 weeks ago,"Rs. 59,300"
Samsung Galaxy M32 256GB (Warranty),Samsung,Galaxy M32,256GB,8GB RAM,Used,Yes,Ampara,6 days ago,"Rs. 48,500"
Oneplus OnePlus 9 128GB,Oneplus,OnePlus 9,128GB,4GB RAM,Used,No,Badulla,"Jan 23, 2026","Rs. 222,500"
Xiaomi Redmi Note 12 128GB,Xiaomi,Redmi Note 12,128GB,6GB RAM,Used,No,Matara,2 weeks ago,"Rs. 32,300"
Xiaomi Redmi 10C 128GB (Warranty),Xiaomi,Redmi 10C,128GB,4GB RAM,New,Yes,Kurunegala,"Feb 22, 2025","Rs. 153,700"
Samsung Galaxy M12 128GB,Samsung,Galaxy M12,128GB,6GB RAM,Used,No,Colombo,"Nov 24, 2025","Rs. 254,300"
Huawei Huawei Nova 5T 32GB,Huawei,Huawei Nova 5T,32GB,2GB RAM,Used,No,Colombo,"Aug 26, 2025","Rs. 19,500"
Other Infinix Hot 12 128GB,Other,Infinix Hot 12,128GB,3GB RAM,Like New,No,Gampaha,"Jan 23, 2026","Rs. 45,500"
Apple iPhone 14 128GB,Apple,iPhone 14,128GB,4GB RAM,Like New,No,Gampaha,1 week ago,"Rs. 347,500"
Xiaomi Poco X3 128GB,Xiaomi,Poco X3,128GB,6GB RAM,Like New,No,Ampara,"Dec 24, 2025","Rs. 121,300"
Samsung Galaxy M32 256GB (Warranty),Samsung,Galaxy M32,256GB,8GB RAM,Like New,Yes,Gampaha,"Aug 26, 2025","Rs. 192,900"
Oneplus OnePlus 9 256GB,Oneplus,OnePlus 9,256GB,6GB RAM,Used,No,Colombo,"Nov 24, 2025","Rs. 118,700"
Xiaomi Redmi 10C 64GB,Xiaomi,Redmi 10C,64GB,6GB RAM,Used,No,Unknown,"Feb 22, 2025","Rs. 85,000"
Xiaomi Redmi Note 11 64GB,Xiaomi,Redmi Note 11,64GB,4GB RAM,Used,No,Colombo,"Jan 23, 2026","Rs. 21,600"
Xiaomi Redmi 10C 128GB,Xiaomi,Redmi 10C,128GB,4GB RAM,Used,No,Kurunegala,"Jan 23, 2026","Rs. 138,500"
Xiaomi Poco X3 32GB (Warranty),Xiaomi,Poco X3,32GB,3GB RAM,Used,Yes,Colombo,"Dec 24, 2025","Rs. 57,400"
Redmi Redmi 9A 128GB (Warranty),Redmi,Redmi 9A,128GB,3GB RAM,Used,Yes,Batticaloa,"Jan 23, 2026","Rs. 52,600"
Sony Sony Xperia 10 128GB (Warranty),Sony,Sony Xperia 10,128GB,4GB RAM,Like New,Yes,Colombo,Yesterday,"Rs. 272,900"
Realme Realme 8 64GB,Realme,Realme 8,64GB,6GB RAM,Used,No,Gampaha,"Dec 24, 2025","Rs. 24,900"
Xiaomi Poco M4 Pro 128GB,Xiaomi,Poco M4 Pro,128GB,6GB RAM,New,No,Anuradhapura,2 weeks ago,"Rs. 193,200"
Apple iPhone 13 256GB,Apple,iPhone 13,256GB,8GB RAM,Used,No,Colombo,2 weeks ago,"Rs. 188,300"
Nokia Nokia 5.4 256GB,Nokia,Nokia 5.4,256GB,6GB RAM,Like New,No,Gampaha,2 weeks ago,"Rs. 82,100"
Nokia Nokia G10 32GB,Nokia,Nokia G10,32GB,2GB RAM,New,No,Matara,Today,"Rs. 64,400"
Samsung Galaxy S23 128GB,Samsung,Galaxy S23,128GB,3GB RAM,Used,No,Ratnapura,6 days ago,"Rs. 242,400"
Redmi Redmi 9C 256GB,Redmi,Redmi 9C,256GB,12GB RAM,Used,No,Gampaha,3 days ago,"Rs. 98,900"
Oppo Oppo A54 128GB (Warranty),Oppo,Oppo A54,128GB,4GB RAM,Used,Yes,Anuradhapura,2 weeks ago,"Rs. 74,000"
Redmi Redmi 9C 128GB,Redmi,Redmi 9C,128GB,4GB RAM,Used,No,Batticaloa,"Aug 26, 2025","Rs. 35,500"
Oppo Oppo A16 256GB (Warranty),Oppo,Oppo A16,256GB,8GB RAM,New,Yes,Badulla,"Jan 23, 2026","Rs. 65,500"
Vivo Vivo Y21s 64GB (Warranty),Vivo,Vivo Y21s,64GB,6GB RAM,Like New,Yes,Hambantota,2 weeks ago,"Rs. 71,300"
Huawei Huawei Mate 30 256GB,Huawei,Huawei Mate 30,256GB,6GB RAM,Like New,No,Colombo,"Nov 24, 2025","Rs. 170,100"
Samsung Galaxy A53 64GB (Warranty),Samsung,Galaxy A53,64GB,3GB RAM,Used,Yes,Colombo,"Nov 24, 2025","Rs. 142,600"
Oppo Oppo A74 256GB,Oppo,Oppo A74,256GB,8GB RAM,Used,No,Colombo,"Nov 24, 2025","Rs. 21,600"
Vivo Vivo Y21s 128GB (Warranty),Vivo,Vivo Y21s,128GB,3GB RAM,New,Yes,Polonnaruwa,3 weeks ago,"Rs. 77,400"
Huawei Huawei P30 Pro 128GB (Warranty),Huawei,Huawei P30 Pro,128GB,6GB RAM,Used,Yes,Jaffna,2 weeks ago,"Rs. 182,900"
Oppo Oppo A57 128GB (Warranty),Oppo,Oppo A57,128GB,4GB RAM,Used,Yes,Colombo,"Feb 22, 2025","Rs. 57,300"
Samsung Galaxy M32 32GB (Warranty),Samsung,Galaxy M32,32GB,2GB RAM,Like New,Yes,Colombo,2 weeks ago,"Rs. 276,100"
Apple iPhone 13 Pro 256GB,Apple,iPhone 13 Pro,256GB,6GB RAM,Used,No,Ampara,2 weeks ago,"Rs. 343,600"
Apple iPhone XR 256GB,Apple,iPhone XR,256GB,8GB RAM,Used,No,Kandy,4 days ago,"Rs. 312,700"
Huawei Huawei Y7a 64GB,Huawei,Huawei Y7a,64GB,6GB RAM,Like New,No,Jaffna,Yesterday,"Rs. 163,400"
Redmi Redmi 9A 128GB,Redmi,Redmi 9A,128GB,4GB RAM,Like New,No,Matale,2 weeks ago,"Rs. 57,800"
Xiaomi Redmi 10C 64GB,Xiaomi,Redmi 10C,64GB,3GB RAM,Like New,No,Gampaha,"Dec 24, 2025","Rs. 135,800"
Samsung Galaxy A52 64GB,Samsung,Galaxy A52,64GB,3GB RAM,Used,No,Gampaha,3 weeks ago,"Rs. 213,100"
Motorola Moto G60 64GB,Motorola,Moto G60,64GB,6GB RAM,Used,No,Ratnapura,Today,"Rs. 62,800"
Samsung Galaxy M12 128GB,Samsung,Galaxy M12,128GB,6GB RAM,Used,No,Badulla,Today,"Rs. 236,700"
Samsung Galaxy A32 32GB,Samsung,Galaxy A32,32GB,2GB RAM,Used,No,Ratnapura,"Dec 24, 2025","Rs. 123,500"
Realme Realme 9 256GB,Realme,Realme 9,256GB,12GB RAM,Used,No,Trincomalee,1 week ago,"Rs. 92,300"
Nokia Nokia G20 64GB,Nokia,Nokia G20,64GB,3GB RAM,Used,No,Galle,3 weeks ago,"Rs. 34,000"
Redmi Redmi 9A 128GB,Redmi,Redmi 9A,128GB,8GB RAM,Used,No,Jaffna,"Jan 23, 2026","Rs. 77,400"
Nokia Nokia 5.4 128GB,Nokia,Nokia 5.4,128GB,8GB RAM,Used,No,Kurunegala,3 weeks ago,"Rs. 38,000"
Xiaomi Redmi 10C 256GB,Xiaomi,Redmi 10C,256GB,6GB RAM,Used,No,Colombo,3 weeks ago,"Rs. 126,600"
Redmi Redmi 9C 128GB,Redmi,Redmi 9C,128GB,4GB RAM,Used,No,Colombo,4 days ago,"Rs. 34,800"
Realme Realme C25 64GB,Realme,Realme C25,64GB,4GB RAM,Like New,No,Gampaha,2 weeks ago,"Rs. 69,200"
Apple iPhone 14 256GB,Apple,iPhone 14,256GB,8GB RAM,Used,No,Colombo,3 days ago,"Rs. 258,400"
Nokia Nokia 5.4 128GB,Nokia,Nokia 5.4,128GB,6GB RAM,New,No,Galle,"Jan 23, 2026","Rs. 62,900"
Xiaomi Mi 11 Lite 128GB (Warranty),Xiaomi,Mi 11 Lite,128GB,6GB RAM,Used,Yes,Gampaha,Today,"Rs. 151,900"
Redmi Redmi 10 128GB (Warranty),Redmi,Redmi 10,128GB,4GB RAM,Used,Yes,Jaffna,"Dec 24, 2025","Rs. 42,600"
Xiaomi Poco X3 64GB,Xiaomi,Poco X3,64GB,6GB RAM,Used,No,Colombo,2 weeks ago,"Rs. 21,700"
Samsung Galaxy A32 128GB,Samsung,Galaxy A32,128GB,3GB RAM,Used,No,Colombo,"Aug 26, 2025","Rs. 172,500"
Apple iPhone 12 256GB,Apple,iPhone 12,256GB,16GB RAM,Used,No,Jaffna,3 weeks ago,"Rs. 371,800"
Xiaomi Redmi Note 10 64GB (Warranty),Xiaomi,Redmi Note 10,64GB,3GB RAM,Like New,Yes,Gampaha,"Aug 26, 2025","Rs. 35,900"
Apple iPhone 13 Pro 256GB,Apple,iPhone 13 Pro,256GB,6GB RAM,Used,No,Galle,"Nov 24, 2025","Rs. 298,700"
Samsung Galaxy A52 64GB,Samsung,Galaxy A52,64GB,3GB RAM,Used,No,Colombo,1 week ago,"Rs. 100,600"
Samsung Galaxy A53 64GB,Samsung,Galaxy A53,64GB,4GB RAM,Like New,No,Colombo,Today,"Rs. 321,500"
Apple iPhone 14 Pro 64GB,Apple,iPhone 14 Pro,64GB,4GB RAM,Used,No,Kurunegala,"Nov 24, 2025","Rs. 265,000"
Realme Realme GT Neo 2 128GB (Warranty),Realme,Realme GT Neo 2,128GB,6GB RAM,Used,Yes,Trincomalee,"Jan 23, 2026","Rs. 21,700"
Realme Realme GT Neo 2 128GB (Warranty),Realme,Realme GT Neo 2,128GB,4GB RAM,Used,Yes,Kandy,5 days ago,"Rs. 33,200"
Sony Sony Xperia 1 III 128GB (Warranty),Sony,Sony Xperia 1 III,128GB,8GB RAM,Used,Yes,Gampaha,3 weeks ago,"Rs. 35,900"
Apple iPhone SE 128GB,Apple,iPhone SE,128GB,3GB RAM,Like New,No,Colombo,2 days ago,"Rs. 460,500"
Oppo Oppo F19 64GB,Oppo,Oppo F19,64GB,4GB RAM,Used,No,Gampaha,3 days ago,"Rs. 55,200"
Apple iPhone 13 256GB,Apple,iPhone 13,256GB,8GB RAM,Like New,No,Trincomalee,"Jan 23, 2026","Rs. 225,700"
Oneplus OnePlus 10 Pro 128GB,Oneplus,OnePlus 10 Pro,128GB,4GB RAM,Used,No,Kandy,1 week ago,"Rs. 113,800"
Redmi Redmi 12 128GB,Redmi,Redmi 12,128GB,4GB RAM,Used,No,Colombo,"Nov 24, 2025","Rs. 84,800"
Apple iPhone 12 Pro 256GB,Apple,iPhone 12 Pro,256GB,8GB RAM,Used,No,Kandy,5 days ago,"Rs. 409,800"
Samsung Galaxy M12 128GB (Warranty),Samsung,Galaxy M12,128GB,8GB RAM,Used,Yes,Gampaha,Yesterday,"Rs. 35,500"
Apple iPhone 13 Pro 64GB,Apple,iPhone 13 Pro,64GB,8GB RAM,New,No,Kurunegala,"Feb 22, 2025","Rs. 133,900"
Samsung Galaxy A12 64GB,Samsung,Galaxy A12,64GB,6GB RAM,Used,No,Kalutara,2 weeks ago,"Rs. 148,500"
Apple iPhone 14 Pro 256GB,Apple,iPhone 14 Pro,256GB,8GB RAM,Used,No,Hambantota,2 days ago,"Rs. 84,800"
Oppo Oppo A74 128GB (Warranty),Oppo,Oppo A74,128GB,4GB RAM,Used,Yes,Colombo,"Dec 24, 2025","Rs. 54,800"
Redmi Redmi 9C 128GB (Warranty),Redmi,Redmi 9C,128GB,4GB RAM,Used,Yes,Kalutara,5 days ago,"Rs. 52,300"
Apple iPhone SE 256GB,Apple,iPhone SE,256GB,6GB RAM,Used,No,Galle,2 weeks ago,"Rs. 423,300"
Apple iPhone SE 512GB,Apple,iPhone SE,512GB,6GB RAM,Like New,No,Monaragala,"Dec 24, 2025","Rs. 252,600"
Xiaomi Redmi Note 11 64GB,Xiaomi,Redmi Note 11,64GB,6GB RAM,Used,No,Anuradhapura,3 weeks ago,"Rs. 75,300"
Xiaomi Redmi Note 10 128GB (Warranty),Xiaomi,Redmi Note 10,128GB,4GB RAM,Used,Yes,Kandy,"Feb 22, 2025","Rs. 94,300"
Samsung Galaxy A12 128GB (Warranty),Samsung,Galaxy A12,128GB,4GB RAM,Used,Yes,Gampaha,"Dec 24, 2025","Rs. 169,100"
Samsung Galaxy M32 128GB,Samsung,Galaxy M32,128GB,4GB RAM,Used,No,Monaragala,1 week ago,"Rs. 58,900"
Samsung Galaxy A72 32GB,Samsung,Galaxy A72,32GB,2GB RAM,Used,No,Colombo,2 weeks ago,"Rs. 178,400"
Huawei Huawei P40 Lite 256GB,Huawei,Huawei P40 Lite,256GB,8GB RAM,Used,No,Vavuniya,3 days ago,"Rs. 127,300"
Other Tecno Spark 8 32GB,Other,Tecno Spark 8,32GB,2GB RAM,Used,No,Jaffna,1 week ago,"Rs. 30,600"
Apple iPhone 14 Pro 128GB (Warranty),Apple,iPhone 14 Pro,128GB,4GB RAM,New,Yes,Gampaha,"Dec 24, 2025","Rs. 327,300"
Samsung Galaxy A23 256GB,Samsung,Galaxy A23,256GB,6GB RAM,New,No,Anuradhapura,"Feb 22, 2025","Rs. 310,200"
Redmi Redmi 9C 128GB,Redmi,Redmi 9C,128GB,6GB RAM,Used,No,Batticaloa,6 days ago,"Rs. 63,300"
Huawei Huawei Mate 30 128GB,Huawei,Huawei Mate 30,128GB,6GB RAM,Used,No,Gampaha,"Dec 24, 2025","Rs. 48,500"
Nokia Nokia G20 128GB,Nokia,Nokia G20,128GB,4GB RAM,Used,No,Jaffna,6 days ago,"Rs. 10,600"
Redmi Redmi 9A 256GB (Warranty),Redmi,Redmi 9A,256GB,8GB RAM,Like New,Yes,Badulla,"Dec 24, 2025","Rs. 37,100"
Oppo Oppo A57 128GB,Oppo,Oppo A57,128GB,8GB RAM,Like New,No,Gampaha,3 weeks ago,"Rs. 140,000"
Redmi Redmi Note 9 128GB (Warranty),Redmi,Redmi Note 9,128GB,6GB RAM,Used,Yes,Gampaha,"Nov 24, 2025","Rs. 39,700"
Other Itel A49 256GB,Other,Itel A49,256GB,6GB RAM,Used,No,Kegalle,"Jan 23, 2026","Rs. 19,700"
Xiaomi Redmi 10C 128GB,Xiaomi,Redmi 10C,128GB,4GB RAM,Used,No,Kandy,6 days ago,"Rs. 24,400"
Realme Realme 8 256GB (Warranty),Realme,Realme 8,256GB,6GB RAM,Used,Yes,Anuradhapura,1 week ago,"Rs. 78,000"
Motorola Moto G30 128GB,Motorola,Moto G30,128GB,8GB RAM,Used,No,Puttalam,"Nov 24, 2025","Rs. 61,100"
Oneplus OnePlus 10 Pro 128GB,Oneplus,OnePlus 10 Pro,128GB,4GB RAM,New,No,Gampaha,Yesterday,"Rs. 355,600"
Oppo Oppo A92 128GB,Oppo,Oppo A92,128GB,8GB RAM,Used,No,Trincomalee,"Dec 24, 2025","Rs. 37,200"
Apple iPhone 15 128GB,Apple,iPhone 15,128GB,3GB RAM,Used,No,Hambantota,2 weeks ago,"Rs. 137,200"
Apple iPhone 11 256GB,Apple,iPhone 11,256GB,8GB RAM,Used,No,Galle,1 week ago,"Rs. 300,800"
Other Tecno Pop 5 32GB,Other,Tecno Pop 5,32GB,2GB RAM,Like New,No,Colombo,"Dec 24, 2025","Rs. 31,800"
Oneplus OnePlus 9R 256GB (Warranty),Oneplus,OnePlus 9R,256GB,6GB RAM,Used,Yes,Kandy,Today,"Rs. 251,400"
Oppo Oppo A54 64GB (Warranty),Oppo,Oppo A54,64GB,3GB RAM,Used,Yes,Kandy,4 days ago,"Rs. 68,900"
Realme Realme 8 64GB,Realme,Realme 8,64GB,4GB RAM,Used,No,Colombo,1 week ago,"Rs. 65,300"
Apple iPhone XS Max 128GB (Warranty),Apple,iPhone XS Max,128GB,3GB RAM,Like New,Yes,Trincomalee,"Jan 23, 2026","Rs. 245,300"
Apple iPhone 12 Pro 256GB,Apple,iPhone 12 Pro,256GB,6GB RAM,Used,No,Gampaha,"Jan 23, 2026","Rs. 134,700"
Samsung Galaxy A52 32GB,Samsung,Galaxy A52,32GB,2GB RAM,Used,No,Colombo,"Dec 24, 2025","Rs. 177,300"
Samsung Galaxy S23 128GB,Samsung,Galaxy S23,128GB,4GB RAM,Used,No,Kalutara,"Aug 26, 2025","Rs. 169,600"
Xiaomi Redmi Note 11 128GB,Xiaomi,Redmi Note 11,128GB,6GB RAM,Used,No,Gampaha,2 days ago,"Rs. 85,400"
Apple iPhone 14 256GB,Apple,iPhone 14,256GB,16GB RAM,Used,No,Ratnapura,5 days ago,"Rs. 112,300"
Nokia Nokia 3.4 128GB,Nokia,Nokia 3.4,128GB,3GB RAM,New,No,Gampaha,5 days ago,"Rs. 32,100"
Redmi Redmi 9C 32GB,Redmi,Redmi 9C,32GB,3GB RAM,New,No,Trincomalee,3 weeks ago,"Rs. 30,200"
Redmi Redmi Note 9 128GB,Redmi,Redmi Note 9,128GB,6GB RAM,Like New,No,Colombo,5 days ago,"Rs. 41,600"
Samsung Galaxy A53 128GB,Samsung,Galaxy A53,128GB,4GB RAM,Used,No,Nuwara Eliya,3 days ago,"Rs. 247,600"
Apple iPhone 15 128GB,Apple,iPhone 15,128GB,4GB RAM,Used,No,Colombo,"Jan 23, 2026","Rs. 170,400"
Apple iPhone SE 128GB (Warranty),Apple,iPhone SE,128GB,3GB RAM,Used,Yes,Ratnapura,"Nov 24, 2025","Rs. 289,700"
Other Infinix Hot 12 16GB (Warranty),Other,Infinix Hot 12,16GB,4GB RAM,Used,Yes,Kurunegala,"Nov 24, 2025","Rs. 16,500"
Vivo Vivo V21 256GB,Vivo,Vivo V21,256GB,6GB RAM,Used,No,Kegalle,"Aug 26, 2025","Rs. 100,600"
Apple iPhone SE 256GB,Apple,iPhone SE,256GB,8GB RAM,Used,No,Batticaloa,"Dec 24, 2025","Rs. 115,600"
Xiaomi Redmi Note 11 128GB (Warranty),Xiaomi,Redmi Note 11,128GB,3GB RAM,Like New,Yes,Colombo,1 week ago,"Rs. 139,800"
Samsung Galaxy M32 128GB (Warranty),Samsung,Galaxy M32,128GB,4GB RAM,Used,Yes,Kandy,3 days ago,"Rs. 226,800"
Apple iPhone 14 256GB,Apple,iPhone 14,256GB,12GB RAM,Used,No,Kalutara,"Dec 24, 2025","Rs. 284,300"
Oppo Oppo A16 128GB,Oppo,Oppo A16,128GB,6GB RAM,Like New,No,Hambantota,"Dec 24, 2025","Rs. 33,300"
Oneplus OnePlus Nord CE 256GB,Oneplus,OnePlus Nord CE,256GB,6GB RAM,Used,No,Gampaha,4 days ago,"Rs. 174,700"
Samsung Galaxy S21 64GB (Warranty),Samsung,Galaxy S21,64GB,3GB RAM,Used,Yes,Kurunegala,"Feb 22, 2025","Rs. 65,500"
Vivo Vivo Y21s 64GB,Vivo,Vivo Y21s,64GB,6GB RAM,Used,No,Colombo,2 weeks ago,"Rs. 47,500"
Huawei Huawei P40 Lite 128GB,Huawei,Huawei P40 Lite,128GB,4GB RAM,Used,No,Batticaloa,"Aug 26, 2025","Rs. 140,500"
Oneplus OnePlus 9 128GB,Oneplus,OnePlus 9,128GB,6GB RAM,Used,No,Colombo,"Feb 22, 2025","Rs. 44,300"
Apple iPhone 12 Pro 256GB,Apple,iPhone 12 Pro,256GB,8GB RAM,Used,No,Mannar,3 weeks ago,"Rs. 137,700"
Samsung Galaxy S23 128GB,Samsung,Galaxy S23,128GB,3GB RAM,Used,No,Batticaloa,"Nov 24, 2025","Rs. 143,000"
Oppo Oppo F19 64GB (Warranty),Oppo,Oppo F19,64GB,4GB RAM,Used,Yes,Kandy,1 week ago,"Rs. 31,900"
Realme Realme 9 128GB,Realme,Realme 9,128GB,4GB RAM,Used,No,Puttalam,3 days ago,"Rs. 35,900"
Apple iPhone X 128GB,Apple,iPhone X,128GB,8GB RAM,Like New,No,Anuradhapura,3 days ago,"Rs. 209,300"
Apple iPhone 14 128GB,Apple,iPhone 14,128GB,4GB RAM,Used,No,Matara,"Dec 24, 2025","Rs. 410,800"
Other Itel A49 16GB (Warranty),Other,Itel A49,16GB,2GB RAM,New,Yes,Matale,"Aug 26, 2025","Rs. 18,300"
Other Itel A49 64GB (Warranty),Other,Itel A49,64GB,4GB RAM,Like New,Yes,Jaffna,"Feb 22, 2025","Rs. 43,400"
Sony Sony Xperia 1 III 256GB,Sony,Sony Xperia 1 III,256GB,12GB RAM,New,No,Kurunegala,1 week ago,"Rs. 146,500"
Nokia Nokia 3.4 64GB,Nokia,Nokia 3.4,64GB,4GB RAM,Used,No,Galle,"Nov 24, 2025","Rs. 39,400"
Nokia Nokia G20 256GB,Nokia,Nokia G20,256GB,8GB RAM,Used,No,Galle,Yesterday,"Rs. 46,700"
Samsung Galaxy M32 256GB,Samsung,Galaxy M32,256GB,8GB RAM,Used,No,Gampaha,"Feb 22, 2025","Rs. 246,000"
Huawei Huawei Nova 5T 128GB (Warranty),Huawei,Huawei Nova 5T,128GB,4GB RAM,Like New,Yes,Kandy,"Aug 26, 2025","Rs. 61,400"
Redmi Redmi 9A 64GB,Redmi,Redmi 9A,64GB,4GB RAM,New,No,Gampaha,"Aug 26, 2025","Rs. 76,900"
Redmi Redmi Note 9 128GB (Warranty),Redmi,Redmi Note 9,128GB,4GB RAM,Like New,Yes,Colombo,4 days ago,"Rs. 62,300"
Xiaomi Redmi Note 10 128GB,Xiaomi,Redmi Note 10,128GB,4GB RAM,Used,No,Jaffna,5 days ago,"Rs. 116,500"
Oppo Oppo A57 128GB,Oppo,Oppo A57,128GB,6GB RAM,Like New,No,Kandy,"Dec 24, 2025","Rs. 55,700"
Apple iPhone 13 Pro 128GB,Apple,iPhone 13 Pro,128GB,8GB RAM,Used,No,Kandy,2 weeks ago,"Rs. 160,400"
Realme Realme C25 128GB,Realme,Realme C25,128GB,4GB RAM,Like New,No,Colombo,1 week ago,"Rs. 85,600"
Apple iPhone 12 Pro 64GB (Warranty),Apple,iPhone 12 Pro,64GB,4GB RAM,Used,Yes,Colombo,1 week ago,"Rs. 296,600"
Redmi Redmi 9A 128GB,Redmi,Redmi 9A,128GB,3GB RAM,Used,No,Puttalam,"Nov 24, 2025","Rs. 33,600"
Oppo Oppo A92 32GB,Oppo,Oppo A92,32GB,3GB RAM,Like New,No,Galle,2 weeks ago,"Rs. 62,700"
Apple iPhone 12 Pro 128GB,Apple,iPhone 12 Pro,128GB,6GB RAM,Like New,No,Anuradhapura,"Feb 22, 2025","Rs. 438,000"
Vivo Vivo V21 128GB,Vivo,Vivo V21,128GB,3GB RAM,Used,No,Ampara,"Aug 26, 2025","Rs. 51,400"
Realme Realme Narzo 50 128GB,Realme,Realme Narzo 50,128GB,8GB RAM,Used,No,Jaffna,2 days ago,"Rs. 25,000"
Oppo Oppo A57 64GB,Oppo,Oppo A57,64GB,3GB RAM,Used,No,Matara,"Nov 24, 2025","Rs. 22,300"
Apple iPhone 12 64GB,Apple,iPhone 12,64GB,6GB RAM,Used,No,Nuwara Eliya,Today,"Rs. 152,800"
Apple iPhone 12 256GB (Warranty),Apple,iPhone 12,256GB,16GB RAM,Used,Yes,Colombo,2 weeks ago,"Rs. 143,900"
Oneplus OnePlus Nord CE 128GB,Oneplus,OnePlus Nord CE,128GB,6GB RAM,Like New,No,Galle,Yesterday,"Rs. 238,500"
Vivo Vivo Y75 64GB (Warranty),Vivo,Vivo Y75,64GB,3GB RAM,Used,Yes,Galle,"Feb 22, 2025","Rs. 21,400"
Oppo Oppo A92 128GB,Oppo,Oppo A92,128GB,3GB RAM,Used,No,Puttalam,"Feb 22, 2025","Rs. 49,100"
Xiaomi Redmi Note 12 64GB,Xiaomi,Redmi Note 12,64GB,8GB RAM,Used,No,Colombo,"Nov 24, 2025","Rs. 93,200"
Samsung Galaxy A32 128GB,Samsung,Galaxy A32,128GB,4GB RAM,Like New,No,Puttalam,5 days ago,"Rs. 168,600"
Other Tecno Spark 8 16GB,Other,Tecno Spark 8,16GB,2GB RAM,Like New,No,Anuradhapura,4 days ago,"Rs. 49,600"
Huawei Huawei Mate 30 128GB,Huawei,Huawei Mate 30,128GB,3GB RAM,Used,No,Mullaitivu,"Dec 24, 2025","Rs. 160,100"
Apple iPhone 14 512GB (Warranty),Apple,iPhone 14,512GB,8GB RAM,Used,Yes,Colombo,"Nov 24, 2025","Rs. 405,200"
Redmi Redmi Note 9 128GB,Redmi,Redmi Note 9,128GB,6GB RAM,New,No,Anuradhapura,"Feb 22, 2025","Rs. 128,000"
Xiaomi Redmi 10C 128GB,Xiaomi,Redmi 10C,128GB,3GB RAM,Used,No,Ratnapura,2 days ago,"Rs. 30,500"
Oppo Oppo A74 64GB,Oppo,Oppo A74,64GB,6GB RAM,Used,No,Colombo,Yesterday,"Rs. 83,200"
Vivo Vivo Y53s 64GB,Vivo,Vivo Y53s,64GB,6GB RAM,Used,No,Gampaha,"Nov 24, 2025","Rs. 58,200"
Huawei Huawei P30 64GB,Huawei,Huawei P30,64GB,4GB RAM,Used,No,Colombo,"Jan 23, 2026","Rs. 145,800"
Samsung Galaxy M32 64GB,Samsung,Galaxy M32,64GB,4GB RAM,Used,No,Trincomalee,"Jan 23, 2026","Rs. 127,500"
Huawei Huawei P40 Lite 256GB,Huawei,Huawei P40 Lite,256GB,8GB RAM,Used,No,Mullaitivu,"Jan 23, 2026","Rs. 88,500"
Other Itel A49 16GB,Other,Itel A49,16GB,3GB RAM,Used,No,Batticaloa,"Jan 23, 2026","Rs. 30,700"
Huawei Huawei Y7a 128GB,Huawei,Huawei Y7a,128GB,3GB RAM,Used,No,Gampaha,Yesterday,"Rs. 127,600"
Nokia Nokia G20 64GB,Nokia,Nokia G20,64GB,3GB RAM,Used,No,Polonnaruwa,"Jan 23, 2026","Rs. 44,600"
Redmi Redmi Note 9 64GB (Warranty),Redmi,Redmi Note 9,64GB,4GB RAM,Used,Yes,Colombo,"Dec 24, 2025","Rs. 41,600"
